song_id,title,artist,genre,is_trainable,cover_url,local_path,status,format,width,height,file_size_bytes,sha256,timestamp
RMVM_MB_007dda39e8,QUAY ĐI QUAY LẠI,HIEUTHUHAI,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_00b5a6a08b,MCCB,Blacka,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_01c96c811e,Tình ta biển bạc đồng xanh,Anh Thơ,REVOLUTIONARY,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0246dfd5c8,Gui Hue,Thu Hiền,REVOLUTIONARY,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_024d34c05b,Nửa trái tim,Phi Nhung,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0295b88980,Toxic Incense,Parasite,ROCK,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_02a91fe113,Trái tim dũng cảm,Microwave,ROCK,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_042ffb9226,Đừng Yêu Người Nổi Tiếng (Piano Version),7UPPERCUTS,ROCK,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0440bf1d4f,Giã bạn đêm trăng,Tân Nhàn,REVOLUTIONARY,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_044e2f45a2,Le gateau de riz (Thème musical),Thanh Ngân,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_048eeb1c5d,Trái tim lầm lỡ,Vân Khánh,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_055cc3c6e9,Fuelled by fear,Hoaprox,DANCE_EDM,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_061e6c18eb,Từ đó em buồn,Hương Lan,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_06eedf4b5f,Còn ai với ai,Trịnh Vĩnh Trinh,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_06ef56d7a4,Anh Nên Đi Khỏi Đây,HIEUTHUHAI,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_075031b05c,favourite liar,Kai Đinh,RB_SOUL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0834dc92e4,Tình đầu,Hương Lan,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0894f2c9af,3/4 Interlude,Cam,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_08f8ef67f8,Đi tìm,Ánh Tuyết,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_096f10b94e,Thủy Triều,Quang Hưng,REVOLUTIONARY,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0a14a18db9,Giây phút uyên ương,Thủy Triều Đỏ,ROCK,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0a7347b3c4,Thích Em Hơi Nhiều,Wren Evans,RB_SOUL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0aba14383c,Bên đời hiu quạnh (với AC&M),Quang Dũng,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0b06b4610b,Nửa đêm ngoài phố,Bảo Yến,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0b2bc28e65,Tình ca,Quang Thọ,REVOLUTIONARY,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0bbb807e96,Yêu Xa,Vũ Cát Tường,RB_SOUL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0bc13b72f5,Tình lỡ,Bảo Yến,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0bf8ff66db,Sao muốn giết người yêu,Phi Nhung,FOLK_TRADITIONAL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0c2feab454,Chợt Nghe Bước Em Về,Rhymastic,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0c407efdad,Nobody,Vũ Cát Tường,RB_SOUL,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0cf5147f71,Giấc Mơ Mỹ,Rhymastic,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0d21d3b03e,Outro,Binz,RAP_HIPHOP,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0d2b2e7503,Hãy yêu thật lòng,Lê Hiếu,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0d2ebee4c3,Mùa thu mây ngàn,Khánh Ly,NHAC_TRINH,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
RMVM_MB_0d4ec0cc6e,Head And Shoulders,Xuân Mai,CHILDREN,True,,,no_url_indexed,,0,0,0,,2026-08-28 13:06:10
