song_id,title,artist,artist_id,genre,raw_genre,source_genre,tier,label_source,label_confidence,release_year,has_audio,has_lyrics,has_cover,is_full_multimodal,modality_pattern,physical_quality_status,audio_path,lyrics_path,cover_path,source_url,source_id
RMVM_S_23a8e13e19,Liên Khúc Thiên Sứ Tình Yêu (Remix),Đan Trường,ART_d7d6ae2597,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_23a8e13e19.jpg,https://a128-z3.zmdcdn.me/6c11763f40c0b96caa82a77a6006c8bd?authen=exp=1772900355~acl=/6c11763f40c0b96caa82a77a6006c8bd*~hmac=9ba9e9bf209fb248fc60ef2c2e8cb2c4,ZWA96EUO
RMVM_S_22491be421,Ước Mơ Của Mẹ (Beat),Văn Mai Hương,ART_7dbfa9a88e,POP_BALLAD,v-pop,v-pop,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_22491be421.jpg,https://a128-z3.zmdcdn.me/6adf157ee7816fba67215dbe2c4be910?authen=exp=1772548718~acl=/6adf157ee7816fba67215dbe2c4be910*~hmac=6e3b4287d6d58bee98bfab26e00ca5dc,Z6E7AFD7
RMVM_S_796c5e6758,Ai Cho Tôi Tình Yêu,"Khánh Duy, Nhã Ca",ART_f0fdfb450c,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_796c5e6758.jpg,https://a128-z3.zmdcdn.me/d2e071b756951017cae754d7574a1427?authen=exp=1772900604~acl=/d2e071b756951017cae754d7574a1427*~hmac=5bc8c103524f66258ad2ed0e9cffa91e,ZW6UCD6A
RMVM_S_94b73a226f,Cơn Mưa Cuối Cùng,Elty,ART_692f623056,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_94b73a226f.jpg,https://a128-z3.zmdcdn.me/fdaf3a869715b9c59c6ff26a9b57f713?authen=exp=1772900611~acl=/fdaf3a869715b9c59c6ff26a9b57f713*~hmac=a9aeb26448f9c748b7ab5e83ea64a584,ZZADU6C7
RMVM_S_51d19950cf,Hẹn Ước Cổ Loa Thành,Lý Anh Khoa,ART_772c8290b0,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_51d19950cf.jpg,https://a128-z3.zmdcdn.me/ffe325ae9a9b7f1f5c4bcb256bc8df4d?authen=exp=1772900378~acl=/ffe325ae9a9b7f1f5c4bcb256bc8df4d*~hmac=6e671ebe93a5e6850c50750edc438500,ZW9DZWCW
RMVM_S_65e58b6a0a,Tết Sẻ Chia - Xuân Hạnh Phúc,"Tuyết Mai, Various Artists",ART_a7c602b130,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_65e58b6a0a.jpg,https://a128-z3.zmdcdn.me/1404507cdee091e00439ce515874be9f?authen=exp=1772900382~acl=/1404507cdee091e00439ce515874be9f*~hmac=5d6b70d1df0c7de72b11f642a9e8438e,ZWA8U8U9
RMVM_S_05b9e2066f,Bóng Cả,Mây Trắng,ART_1144cc9dfe,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_05b9e2066f.jpg,https://a128-z3.zmdcdn.me/5facecca592628fdcbbb21214cb09833?authen=exp=1772900391~acl=/5facecca592628fdcbbb21214cb09833*~hmac=f8d9bba3ed2a5a5a820ccc76bd3c1aa0,ZWZBAAE6
RMVM_S_44ec610f09,LK Cánh Thiệp Hồng Ngang Trái,"Hoàng Như Ngọc, Cao Phi Long",ART_c7946223ef,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_44ec610f09.jpg,https://a128-z3.zmdcdn.me/c6c364f195f5b18bc359993882a46fdd?authen=exp=1772900390~acl=/c6c364f195f5b18bc359993882a46fdd*~hmac=aeaf8be0e4768f8143bd76e7689d66c5,ZW6D9DEU
RMVM_S_8139832583,Bên Cầu Ô Thước,Loan Châu,ART_330a874d37,BOLERO_TRUTINH,nhạc trữ tình,nhạc trữ tình,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_8139832583.jpg,https://a128-z3.zmdcdn.me/c39ca2c380f0f56bc75a4731792d5cd1?authen=exp=1772900392~acl=/c39ca2c380f0f56bc75a4731792d5cd1*~hmac=731cca23489cbeb81dee40c727f26040,ZW6IIOUI
RMVM_S_481cea4d63,Đành Để Em Đi,TBEAR,ART_ee7526ad6a,POP_BALLAD,nhạc trẻ,nhạc trẻ,TIER_A,deterministic_mapping,1.0,,False,False,True,False,COVER_ONLY,LEVEL_2_SINGLE_MODALITY,,,data/covers/RMVM_S_481cea4d63.jpg,https://a128-z3.zmdcdn.me/49b88fdab09c52a8ab83f06904280f71?authen=exp=1772900402~acl=/49b88fdab09c52a8ab83f06904280f71*~hmac=72306720424d573f7606fc126e615920,ZWADIU6E
