song_id,genre,artist,audio_available,lyrics_available,cover_available,release_year_verified,audio_path,lyrics_path,cover_path
RMVM_S_23a8e13e19,POP_BALLAD,Đan Trường,False,False,True,False,,,data/covers/RMVM_S_23a8e13e19.jpg
RMVM_S_22491be421,POP_BALLAD,Văn Mai Hương,False,False,True,False,,,data/covers/RMVM_S_22491be421.jpg
RMVM_S_796c5e6758,BOLERO_TRUTINH,"Khánh Duy, Nhã Ca",False,False,True,False,,,data/covers/RMVM_S_796c5e6758.jpg
RMVM_S_94b73a226f,POP_BALLAD,Elty,False,False,True,False,,,data/covers/RMVM_S_94b73a226f.jpg
RMVM_S_51d19950cf,POP_BALLAD,Lý Anh Khoa,False,False,True,False,,,data/covers/RMVM_S_51d19950cf.jpg
RMVM_S_65e58b6a0a,POP_BALLAD,"Tuyết Mai, Various Artists",False,False,True,False,,,data/covers/RMVM_S_65e58b6a0a.jpg
RMVM_S_05b9e2066f,POP_BALLAD,Mây Trắng,False,False,True,False,,,data/covers/RMVM_S_05b9e2066f.jpg
RMVM_S_44ec610f09,BOLERO_TRUTINH,"Hoàng Như Ngọc, Cao Phi Long",False,False,True,False,,,data/covers/RMVM_S_44ec610f09.jpg
RMVM_S_8139832583,BOLERO_TRUTINH,Loan Châu,False,False,True,False,,,data/covers/RMVM_S_8139832583.jpg
RMVM_S_481cea4d63,POP_BALLAD,TBEAR,False,False,True,False,,,data/covers/RMVM_S_481cea4d63.jpg
RMVM_S_1b83aaff43,POP_BALLAD,Trịnh Đình Quang,False,False,True,False,,,data/covers/RMVM_S_1b83aaff43.jpg
RMVM_S_98d2ba4086,POP_BALLAD,Lương Chấn Nam,False,False,True,False,,,data/covers/RMVM_S_98d2ba4086.jpg
RMVM_S_099fb5288b,BOLERO_TRUTINH,Thanh Vinh,False,False,True,False,,,data/covers/RMVM_S_099fb5288b.jpg
RMVM_S_c03e92531b,BOLERO_TRUTINH,"Shark Hùng Anh, Huỳnh Thật",False,False,True,False,,,data/covers/RMVM_S_c03e92531b.jpg
RMVM_S_1a89a22057,INSTRUMENTAL,Dương Triệu Vũ,False,False,True,False,,,data/covers/RMVM_S_1a89a22057.jpg
RMVM_S_beb8fafe4e,RB_SOUL,Bằng Cường,False,False,True,False,,,data/covers/RMVM_S_beb8fafe4e.jpg
RMVM_S_37ab32104a,POP_BALLAD,Thanh Hà,False,False,True,False,,,data/covers/RMVM_S_37ab32104a.jpg
RMVM_S_ea0274192f,BOLERO_TRUTINH,"Đức Vinh, Đức Hiếu",False,False,True,False,,,data/covers/RMVM_S_ea0274192f.jpg
RMVM_S_a102219279,POP_BALLAD,Cảnh Hàn,False,False,True,False,,,data/covers/RMVM_S_a102219279.jpg
RMVM_S_013f09741f,BOLERO_TRUTINH,"Thái Trâm, Trương Huy",False,False,True,False,,,data/covers/RMVM_S_013f09741f.jpg
RMVM_S_aa2bf59378,POP_BALLAD,Thu Phương,False,False,True,False,,,data/covers/RMVM_S_aa2bf59378.jpg
RMVM_S_e1a43cb0b3,CHILDREN,Bé Bào Ngư,False,False,True,False,,,data/covers/RMVM_S_e1a43cb0b3.jpg
RMVM_S_8ba424b284,BOLERO_TRUTINH,Lê Công,False,False,True,False,,,data/covers/RMVM_S_8ba424b284.jpg
RMVM_S_4ef34f9c1b,POP_BALLAD,Đan Kim,False,False,True,False,,,data/covers/RMVM_S_4ef34f9c1b.jpg
RMVM_S_325b49258f,POP_BALLAD,"Hà Thanh Tâm, Mỹ Hạnh",False,False,True,False,,,data/covers/RMVM_S_325b49258f.jpg
RMVM_S_b1f2e21740,CHILDREN,"Bé Bào Ngư, Như Ý",False,False,True,False,,,data/covers/RMVM_S_b1f2e21740.jpg
RMVM_S_534f7807f9,ROCK,Ngũ Cung,False,False,True,False,,,data/covers/RMVM_S_534f7807f9.jpg
RMVM_S_b2d731df6c,POP_BALLAD,Trương Như Anh,False,False,True,False,,,data/covers/RMVM_S_b2d731df6c.jpg
RMVM_S_2fb4346c32,BOLERO_TRUTINH,Ngọc Liên,False,False,True,False,,,data/covers/RMVM_S_2fb4346c32.jpg
RMVM_S_4346b59fc4,POP_BALLAD,Miu Lê,False,False,True,False,,,data/covers/RMVM_S_4346b59fc4.jpg
