song_id,title,artist,genre,is_trainable,local_path,status,char_count,word_count,sha256,is_content_duplicate,duplicate_of
RMVM_MB_007dda39e8,QUAY ĐI QUAY LẠI,HIEUTHUHAI,RAP_HIPHOP,True,,no_lyrics_file,0,0,,False,
RMVM_MB_00b5a6a08b,MCCB,Blacka,RAP_HIPHOP,True,,no_lyrics_file,0,0,,False,
RMVM_MB_01c96c811e,Tình ta biển bạc đồng xanh,Anh Thơ,REVOLUTIONARY,True,,no_lyrics_file,0,0,,False,
RMVM_MB_0246dfd5c8,Gui Hue,Thu Hiền,REVOLUTIONARY,True,,no_lyrics_file,0,0,,False,
RMVM_MB_024d34c05b,Nửa trái tim,Phi Nhung,FOLK_TRADITIONAL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_0295b88980,Toxic Incense,Parasite,ROCK,True,,no_lyrics_file,0,0,,False,
RMVM_MB_02a91fe113,Trái tim dũng cảm,Microwave,ROCK,True,,no_lyrics_file,0,0,,False,
RMVM_MB_042ffb9226,Đừng Yêu Người Nổi Tiếng (Piano Version),7UPPERCUTS,ROCK,True,,no_lyrics_file,0,0,,False,
RMVM_MB_0440bf1d4f,Giã bạn đêm trăng,Tân Nhàn,REVOLUTIONARY,True,,no_lyrics_file,0,0,,False,
RMVM_MB_044e2f45a2,Le gateau de riz (Thème musical),Thanh Ngân,FOLK_TRADITIONAL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_048eeb1c5d,Trái tim lầm lỡ,Vân Khánh,FOLK_TRADITIONAL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_055cc3c6e9,Fuelled by fear,Hoaprox,DANCE_EDM,True,,no_lyrics_file,0,0,,False,
RMVM_MB_061e6c18eb,Từ đó em buồn,Hương Lan,FOLK_TRADITIONAL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_06eedf4b5f,Còn ai với ai,Trịnh Vĩnh Trinh,NHAC_TRINH,True,,no_lyrics_file,0,0,,False,
RMVM_MB_06ef56d7a4,Anh Nên Đi Khỏi Đây,HIEUTHUHAI,RAP_HIPHOP,True,,no_lyrics_file,0,0,,False,
RMVM_MB_075031b05c,favourite liar,Kai Đinh,RB_SOUL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_0834dc92e4,Tình đầu,Hương Lan,FOLK_TRADITIONAL,True,,no_lyrics_file,0,0,,False,
RMVM_MB_0894f2c9af,3/4 Interlude,Cam,RAP_HIPHOP,True,,no_lyrics_file,0,0,,False,
RMVM_MB_08f8ef67f8,Đi tìm,Ánh Tuyết,NHAC_TRINH,True,,no_lyrics_file,0,0,,False,
